epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1432.99,1.02036,2.10215,0.75932,1.1849,0.729,0.81497,0.84882,0.63301,0.72977,0.81583,0.84956,0.50795,1.0314,1.97371,0.76045,1.2806,0.000701588,0.000701588,0.000701588
76,1452.63,1.02498,2.1881,0.77642,1.17442,0.72178,0.81325,0.84126,0.61544,0.72001,0.81438,0.83959,0.49655,1.05568,1.94035,0.77039,1.29596,0.000694428,0.000694428,0.000694428
77,1471.8,1.03218,2.13565,0.77806,1.19227,0.67025,0.82788,0.81964,0.60675,0.67061,0.8296,0.82039,0.49305,1.01402,1.91481,0.77718,1.25788,0.000687222,0.000687222,0.000687222
78,1490.75,1.00379,2.06383,0.76684,1.17556,0.72579,0.83305,0.8523,0.62264,0.72654,0.83391,0.85231,0.51126,1.03396,1.87043,0.74396,1.25684,0.00067997,0.00067997,0.00067997
79,1509.94,1.01953,2.08787,0.77806,1.17338,0.71448,0.8248,0.85546,0.62657,0.71472,0.82702,0.85599,0.52811,1.04053,1.86831,0.76006,1.27169,0.000672675,0.000672675,0.000672675
80,1529.58,1.02316,2.08532,0.76592,1.18905,0.71293,0.83566,0.85967,0.62583,0.71366,0.83652,0.86052,0.52771,1.04897,1.87675,0.75346,1.27797,0.000665339,0.000665339,0.000665339
81,1548.74,1.0175,2.05112,0.78516,1.19004,0.75187,0.80578,0.86321,0.61964,0.7525,0.80723,0.86329,0.50442,1.0755,1.91796,0.75441,1.29844,0.000657963,0.000657963,0.000657963
82,1567.36,0.99962,2.11776,0.74617,1.16073,0.68717,0.81287,0.83174,0.60566,0.68703,0.81611,0.83152,0.48886,1.04085,1.88952,0.77449,1.27811,0.00065055,0.00065055,0.00065055
83,1586.35,0.99815,2.06701,0.75655,1.16368,0.67914,0.84165,0.83655,0.61536,0.67845,0.84079,0.83651,0.50366,1.04725,1.89155,0.75211,1.2829,0.000643101,0.000643101,0.000643101
84,1606.06,0.9969,2.06243,0.75395,1.17439,0.72286,0.82186,0.85787,0.63793,0.71899,0.82572,0.8575,0.52605,1.03048,1.86021,0.74757,1.28089,0.000635617,0.000635617,0.000635617
85,1625.4,1.0136,2.10385,0.76168,1.17786,0.67671,0.86661,0.84291,0.62302,0.6756,0.86924,0.84453,0.51094,1.03068,1.85936,0.74655,1.26346,0.000628101,0.000628101,0.000628101
86,1644.72,1.00574,2.07096,0.77216,1.18618,0.69152,0.84111,0.84666,0.62816,0.69293,0.84283,0.8475,0.50553,1.01388,1.85754,0.72725,1.25528,0.000620555,0.000620555,0.000620555
87,1664.19,0.97798,2.0438,0.74244,1.16046,0.72533,0.79996,0.83703,0.60688,0.72533,0.79996,0.8371,0.49661,1.05307,1.88037,0.7502,1.29583,0.000612981,0.000612981,0.000612981
88,1683.11,0.98216,1.96247,0.75213,1.15815,0.72194,0.81333,0.85166,0.62408,0.72118,0.81247,0.8517,0.51122,1.03684,1.84301,0.74366,1.28254,0.00060538,0.00060538,0.00060538
89,1701.94,0.97366,1.98626,0.73923,1.15836,0.71636,0.83907,0.86168,0.64532,0.7171,0.83993,0.86191,0.53767,0.97853,1.7665,0.70918,1.24402,0.000597754,0.000597754,0.000597754
90,1721.17,1.00338,2.04239,0.75822,1.17664,0.71348,0.82014,0.85664,0.63663,0.71348,0.82014,0.85598,0.52764,0.9898,1.83534,0.73393,1.24132,0.000590105,0.000590105,0.000590105
91,1740.23,0.99033,2.08188,0.75388,1.17135,0.67492,0.82366,0.82766,0.60252,0.67507,0.82425,0.82738,0.50509,1.03945,1.82772,0.77075,1.27807,0.000582435,0.000582435,0.000582435
92,1759.12,0.96859,2.04426,0.74497,1.14536,0.72208,0.82732,0.84919,0.61947,0.72208,0.82732,0.84857,0.51209,1.02742,1.81492,0.75004,1.273,0.000574746,0.000574746,0.000574746
93,1777.91,0.99045,2.06959,0.76304,1.16256,0.71773,0.78571,0.84385,0.62069,0.67989,0.83305,0.84376,0.50607,1.00193,1.83356,0.75856,1.25016,0.00056704,0.00056704,0.00056704
94,1797.16,0.96072,1.99636,0.75287,1.1457,0.68121,0.84251,0.84542,0.60333,0.68121,0.84251,0.84356,0.5,1.0486,1.865,0.73853,1.28492,0.000559318,0.000559318,0.000559318
95,1816.14,0.97275,1.99912,0.74537,1.14775,0.6896,0.81325,0.84059,0.61169,0.69699,0.80379,0.83985,0.506,1.04589,1.84184,0.75655,1.28521,0.000551584,0.000551584,0.000551584
96,1835,0.96273,1.99974,0.7251,1.14654,0.7204,0.82616,0.85915,0.63876,0.71406,0.84165,0.85957,0.52195,1.00644,1.83051,0.72104,1.2537,0.000543837,0.000543837,0.000543837
