epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1265,0.80681,1.70585,0.59736,0.99596,0.73666,0.83219,0.87876,0.68251,0.7359,0.83133,0.87802,0.55188,0.84775,1.47703,0.66987,1.17285,0.000763637,0.000763637,0.000763637
67,1284.73,0.80966,1.70369,0.61993,1.00966,0.72839,0.83219,0.8707,0.6645,0.72839,0.83219,0.86944,0.54945,0.91543,1.53738,0.71036,1.23368,0.000756976,0.000756976,0.000756976
68,1303.66,0.81346,1.70476,0.61512,1.00136,0.71134,0.86525,0.87115,0.67131,0.70928,0.86294,0.86811,0.5364,0.89686,1.57699,0.64982,1.22999,0.000750252,0.000750252,0.000750252
69,1323.06,0.79856,1.6866,0.60815,0.99019,0.72722,0.85805,0.88383,0.68995,0.72647,0.85886,0.88274,0.56766,0.84316,1.46534,0.62429,1.16802,0.000743468,0.000743468,0.000743468
70,1342.47,0.78178,1.62919,0.59466,1.00283,0.73726,0.75731,0.85139,0.66657,0.73726,0.75731,0.85004,0.54741,0.83786,1.46261,0.70313,1.16373,0.000736625,0.000736625,0.000736625
71,1361.53,0.78728,1.62402,0.60006,1.00957,0.74946,0.79862,0.87454,0.68217,0.74695,0.79765,0.87375,0.57161,0.84441,1.49083,0.65972,1.1479,0.000729725,0.000729725,0.000729725
72,1380.39,0.79853,1.65389,0.60163,1.00266,0.71203,0.85115,0.87214,0.6809,0.7131,0.85198,0.87225,0.5574,0.82873,1.49079,0.65806,1.1431,0.00072277,0.00072277,0.00072277
73,1399.39,0.81371,1.75471,0.60787,1.00074,0.76061,0.8121,0.87275,0.67993,0.75982,0.81325,0.87221,0.55498,0.84928,1.45045,0.66161,1.16408,0.000715761,0.000715761,0.000715761
74,1418.88,0.78103,1.6338,0.59182,0.98774,0.77437,0.80379,0.87061,0.68196,0.77437,0.80379,0.86962,0.56146,0.82507,1.45565,0.63362,1.14785,0.0007087,0.0007087,0.0007087
75,1438.12,0.78583,1.63141,0.58204,0.99204,0.7163,0.84509,0.86935,0.68665,0.71589,0.84337,0.86759,0.56493,0.81673,1.42462,0.64357,1.15541,0.000701588,0.000701588,0.000701588
76,1457.1,0.79992,1.68971,0.58945,0.99903,0.70848,0.83391,0.85984,0.66299,0.70848,0.83391,0.85879,0.52189,0.85147,1.50723,0.68483,1.17131,0.000694428,0.000694428,0.000694428
77,1475.69,0.8055,1.67512,0.60219,1.00475,0.742,0.86626,0.88226,0.68199,0.74126,0.86539,0.88117,0.55582,0.9076,1.52215,0.65463,1.22632,0.000687222,0.000687222,0.000687222
78,1494.59,0.76156,1.60918,0.58889,0.99216,0.77592,0.83735,0.88466,0.68374,0.77433,0.83563,0.88264,0.56708,0.8859,1.4968,0.61789,1.21012,0.00067997,0.00067997,0.00067997
79,1514.15,0.79294,1.65784,0.61089,0.99445,0.78549,0.82561,0.87788,0.6881,0.79049,0.8215,0.87618,0.56002,0.83184,1.46081,0.6019,1.16261,0.000672675,0.000672675,0.000672675
80,1533.37,0.78841,1.64237,0.58888,1.00598,0.76895,0.82199,0.883,0.68551,0.77141,0.81239,0.88087,0.56825,0.84671,1.43643,0.63896,1.15846,0.000665339,0.000665339,0.000665339
81,1552.29,0.77808,1.58973,0.59387,1.0036,0.73499,0.85684,0.86442,0.68242,0.73425,0.85598,0.86182,0.54574,0.83148,1.52097,0.64483,1.16259,0.000657963,0.000657963,0.000657963
82,1570.91,0.76866,1.645,0.56262,0.98395,0.72724,0.81411,0.86599,0.68033,0.7257,0.81239,0.86418,0.55735,0.82707,1.41525,0.66122,1.16343,0.00065055,0.00065055,0.00065055
83,1590.29,0.77292,1.59986,0.57904,0.98876,0.7287,0.82984,0.87176,0.67777,0.7287,0.82984,0.8701,0.55072,0.85652,1.46409,0.69095,1.18033,0.000643101,0.000643101,0.000643101
84,1609.11,0.76776,1.59854,0.57597,0.99378,0.80194,0.8012,0.88495,0.69763,0.80107,0.80034,0.88324,0.57664,0.84744,1.43244,0.62208,1.17939,0.000635617,0.000635617,0.000635617
85,1628.29,0.782,1.63981,0.57973,0.99307,0.71838,0.85397,0.86942,0.68615,0.71766,0.85311,0.8669,0.55936,0.81209,1.43973,0.62719,1.13607,0.000628101,0.000628101,0.000628101
86,1647.24,0.79002,1.6281,0.59796,1.00285,0.77416,0.77367,0.87058,0.68608,0.71592,0.83716,0.86777,0.56285,0.83173,1.40351,0.65919,1.17105,0.000620555,0.000620555,0.000620555
87,1666.57,0.76936,1.6007,0.5678,0.98869,0.74172,0.8304,0.87885,0.69129,0.7438,0.81756,0.87769,0.57485,0.84078,1.43832,0.63903,1.17322,0.000612981,0.000612981,0.000612981
88,1685.31,0.75179,1.51772,0.56979,0.9807,0.74237,0.82827,0.8795,0.68452,0.7417,0.82785,0.87674,0.55633,0.85699,1.43208,0.66144,1.18131,0.00060538,0.00060538,0.00060538
89,1703.91,0.75494,1.55073,0.56801,0.98302,0.7397,0.83881,0.86447,0.68596,0.73728,0.83564,0.86133,0.55809,0.81926,1.44315,0.64901,1.14658,0.000597754,0.000597754,0.000597754
90,1723.17,0.78272,1.61079,0.58275,0.99587,0.78107,0.81325,0.88265,0.69686,0.78062,0.81239,0.88152,0.57767,0.81488,1.43951,0.6303,1.14492,0.000590105,0.000590105,0.000590105
91,1741.78,0.77843,1.64376,0.57537,0.99543,0.77271,0.76678,0.8667,0.68774,0.76979,0.76545,0.86493,0.57263,0.81978,1.44462,0.66941,1.14971,0.000582435,0.000582435,0.000582435
92,1760.79,0.76394,1.61055,0.56745,0.97778,0.77239,0.76248,0.86211,0.6806,0.77152,0.76162,0.85901,0.55611,0.81004,1.42441,0.6927,1.14137,0.000574746,0.000574746,0.000574746
93,1779.37,0.77832,1.62533,0.58287,0.98741,0.73538,0.82032,0.87512,0.69215,0.75611,0.7969,0.87355,0.57618,0.81319,1.43421,0.63263,1.14435,0.00056704,0.00056704,0.00056704
94,1798.59,0.75227,1.55766,0.56446,0.98257,0.73173,0.84079,0.87343,0.68215,0.73404,0.83607,0.87181,0.55875,0.84352,1.46575,0.64927,1.16135,0.000559318,0.000559318,0.000559318
95,1817.41,0.75414,1.55873,0.5627,0.97814,0.72978,0.83391,0.87383,0.68661,0.73071,0.83366,0.87455,0.56815,0.82327,1.39478,0.67089,1.14507,0.000551584,0.000551584,0.000551584
96,1836.22,0.74078,1.5484,0.54633,0.9734,0.78133,0.80895,0.87889,0.68788,0.78205,0.80905,0.87928,0.57498,0.852,1.44421,0.6392,1.16375,0.000543837,0.000543837,0.000543837
97,1854.84,0.74503,1.52347,0.57082,0.99276,0.7255,0.8302,0.86923,0.67944,0.74157,0.80034,0.8667,0.55484,0.84085,1.45119,0.68872,1.16169,0.000536081,0.000536081,0.000536081
98,1873.92,0.76468,1.60069,0.56329,1.00158,0.73354,0.83865,0.87546,0.6884,0.7324,0.83735,0.87407,0.55789,0.84327,1.46736,0.63772,1.17555,0.000528318,0.000528318,0.000528318
99,1893.33,0.76196,1.65826,0.55494,0.97889,0.73217,0.80809,0.87229,0.6849,0.73222,0.80723,0.87102,0.56232,0.83391,1.43288,0.64075,1.1528,0.000520548,0.000520548,0.000520548
100,1912.11,0.74708,1.60281,0.55043,0.97781,0.77763,0.83361,0.87056,0.68182,0.77682,0.83275,0.86934,0.55949,0.85817,1.41201,0.65505,1.18095,0.000512775,0.000512775,0.000512775
101,1930.75,0.74006,1.52449,0.54681,0.97431,0.74098,0.8253,0.87075,0.68828,0.75958,0.80551,0.86991,0.56419,0.81041,1.4516,0.61812,1.13982,0.000505,0.000505,0.000505
102,1950.5,0.75576,1.63107,0.54852,0.9733,0.73381,0.83033,0.86302,0.68294,0.73305,0.82947,0.86131,0.55796,0.81326,1.46555,0.66578,1.15972,0.000497225,0.000497225,0.000497225
103,1969.5,0.73271,1.52573,0.5419,0.9753,0.73343,0.80977,0.86278,0.67874,0.73463,0.80379,0.86154,0.56596,0.82402,1.44498,0.65512,1.15187,0.000489452,0.000489452,0.000489452
104,1988.55,0.74288,1.56534,0.54464,0.9753,0.76171,0.81239,0.87788,0.68502,0.76171,0.81239,0.87753,0.56069,0.85546,1.44751,0.68496,1.19448,0.000481682,0.000481682,0.000481682
105,2007.61,0.7638,1.61313,0.55799,0.97872,0.73349,0.83993,0.87969,0.69744,0.73349,0.83993,0.87944,0.57413,0.79605,1.42205,0.67936,1.13766,0.000473919,0.000473919,0.000473919
106,2026.79,0.74738,1.52799,0.54471,0.97822,0.74166,0.80293,0.87401,0.69348,0.74166,0.80293,0.87329,0.58089,0.80046,1.41794,0.67695,1.12989,0.000466163,0.000466163,0.000466163
107,2045.54,0.7335,1.5169,0.53112,0.97456,0.78333,0.78744,0.8822,0.69471,0.78247,0.78657,0.88034,0.56372,0.81281,1.40582,0.67019,1.14742,0.000458416,0.000458416,0.000458416
108,2064.68,0.74387,1.57428,0.5541,0.98176,0.72645,0.82444,0.87502,0.68554,0.72447,0.82186,0.87225,0.55828,0.83971,1.40367,0.6796,1.17602,0.000450682,0.000450682,0.000450682
109,2083.65,0.74415,1.54708,0.54567,0.96641,0.70813,0.83308,0.86818,0.66974,0.70712,0.8296,0.86591,0.54442,0.85748,1.3989,0.67764,1.183,0.00044296,0.00044296,0.00044296
110,2102.78,0.73173,1.51849,0.52824,0.96273,0.7452,0.82553,0.87958,0.6966,0.74531,0.82603,0.87881,0.56459,0.809,1.41182,0.64638,1.13435,0.000435254,0.000435254,0.000435254
111,2121.58,0.73888,1.53949,0.54127,0.9755,0.78326,0.78744,0.87857,0.6973,0.77676,0.7965,0.8773,0.57036,0.81774,1.40391,0.62616,1.1432,0.000427565,0.000427565,0.000427565
112,2140.43,0.74553,1.57984,0.53948,0.97546,0.71207,0.80034,0.85203,0.65756,0.71437,0.78571,0.85034,0.53471,0.8473,1.46928,0.68266,1.1454,0.000419895,0.000419895,0.000419895
