filename,gsd,Model,TP,FP,FN,IoU,Pred_Area_m2,GT_Area_m2,Error_Area_m2,Pred_Diam_m,GT_Diam_m,Error_Diam_m
0.15m_sample_01.png,0.15m,YOLOv11l-seg,26,2,31,0.8673,1955.475,3804.769,-1849.294,49.898,69.602,-19.704
0.15m_sample_01.png,0.15m,YOLOv8l-seg,22,8,35,0.8468,2029.657,3804.769,-1775.111,50.835,69.602,-18.766
0.15m_sample_07.png,0.15m,Hybrid-v11-SAM,30,15,11,0.8129,2468.498,2569.851,-101.354,56.062,57.202,-1.139
0.15m_sample_07.png,0.15m,Hybrid-v8-SAM,23,29,18,0.8083,2582.122,2569.851,12.271,57.338,57.202,0.136
0.15m_sample_07.png,0.15m,Mask-RCNN,24,4,17,0.8341,1873.62,2569.851,-696.231,48.842,57.202,-8.359
0.15m_sample_07.png,0.15m,YOLOv11-ablation,21,12,20,0.8136,2317.275,2569.851,-252.576,54.318,57.202,-2.884
0.15m_sample_07.png,0.15m,YOLOv11l-seg,22,6,19,0.8526,1850.94,2569.851,-718.911,48.546,57.202,-8.656
0.15m_sample_07.png,0.15m,YOLOv8l-seg,15,12,26,0.8273,1757.97,2569.851,-811.881,47.311,57.202,-9.891
0.1m_01_20.png,0.1m,Hybrid-v11-SAM,15,7,5,0.855,1350.42,1193.436,156.984,41.466,38.981,2.485
0.1m_01_20.png,0.1m,Hybrid-v8-SAM,11,8,9,0.8635,1035.92,1193.436,-157.516,36.318,38.981,-2.663
0.1m_01_20.png,0.1m,Mask-RCNN,17,13,3,0.8607,1817.04,1193.436,623.604,48.099,38.981,9.118
0.1m_01_20.png,0.1m,YOLOv11-ablation,9,7,11,0.8661,1065.08,1193.436,-128.356,36.825,38.981,-2.156
0.1m_01_20.png,0.1m,YOLOv11l-seg,13,4,7,0.9032,1094.97,1193.436,-98.466,37.338,38.981,-1.643
0.1m_01_20.png,0.1m,YOLOv8l-seg,9,4,11,0.8841,790.73,1193.436,-402.706,31.73,38.981,-7.251
0.1m_01_27.png,0.1m,Hybrid-v11-SAM,19,4,6,0.8663,1301.11,1297.342,3.768,40.702,40.643,0.059
0.1m_01_27.png,0.1m,Hybrid-v8-SAM,20,8,5,0.8508,1296.43,1297.342,-0.912,40.628,40.643,-0.014
0.1m_01_27.png,0.1m,Mask-RCNN,19,6,6,0.8816,1528.37,1297.342,231.028,44.113,40.643,3.471
0.1m_01_27.png,0.1m,YOLOv11-ablation,17,2,8,0.8589,1145.87,1297.342,-151.472,38.196,40.643,-2.446
0.1m_01_27.png,0.1m,YOLOv11l-seg,17,1,8,0.8908,1117.32,1297.342,-180.022,37.718,40.643,-2.925
0.1m_01_27.png,0.1m,YOLOv8l-seg,18,3,7,0.8841,1145.06,1297.342,-152.282,38.183,40.643,-2.46
0.1m_sample_01.png,0.1m,Hybrid-v11-SAM,15,4,7,0.8398,1016.17,1246.956,-230.786,35.97,39.846,-3.876
0.1m_sample_01.png,0.1m,Hybrid-v8-SAM,17,11,5,0.8264,1305.73,1246.956,58.774,40.774,39.846,0.928
0.1m_sample_01.png,0.1m,Mask-RCNN,12,1,10,0.8595,705.04,1246.956,-541.916,29.961,39.846,-9.884
0.1m_sample_01.png,0.1m,YOLOv11-ablation,10,3,12,0.8418,911.09,1246.956,-335.866,34.059,39.846,-5.786
0.1m_sample_01.png,0.1m,YOLOv11l-seg,13,1,9,0.8729,860.59,1246.956,-386.366,33.102,39.846,-6.744
0.1m_sample_01.png,0.1m,YOLOv8l-seg,12,6,10,0.8453,934.72,1246.956,-312.236,34.498,39.846,-5.347
0.1m_sample_07.png,0.1m,Hybrid-v11-SAM,15,11,6,0.8489,1445.41,1200.732,244.678,42.899,39.1,3.799
0.1m_sample_07.png,0.1m,Hybrid-v8-SAM,17,10,4,0.8449,1436.76,1200.732,236.028,42.771,39.1,3.671
0.1m_sample_07.png,0.1m,Mask-RCNN,13,7,8,0.8784,1247.47,1200.732,46.738,39.854,39.1,0.754
0.1m_sample_07.png,0.1m,YOLOv11-ablation,11,7,10,0.8847,1046.15,1200.732,-154.582,36.497,39.1,-2.604
